Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
HTMRWN,English,article,Morocco World News,Morocco World News,Morocco World News,Active,,Full Text,Full Coverage,20200207,20200207,"Morocco World News is an online newspaper covering Morocco and MENA region on a wide range of topics like culture, politics, economics, international relations, lifestyle, education, sports and Western Sahara. Country of origin: Morocco","Morocco World News is an online newspaper covering Morocco and MENA region on a wide range of topics like culture, politics, economics, international relations, lifestyle, education, sports and Western Sahara. Country of origin: Morocco",Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://www.moroccoworldnews.com,PBMOWN,Morocco World News,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
LMOJAH,French,article,El Moudjahid,El Moudjahid,"El Moudjahid (Algeria, French Language)",Active,,Full Text,Full Coverage,20161019,20161019,"National newspaper focusing on national and international news, current affairs, politics, sports and entertainment. Country of origin: Algeria","Quotidien national mettant l'accent sur l'actualité nationale et internationale, la politique, le sport et les loisirs. Pays d'origine: Algérie",Sunday-Thursday,As available,As available,Source is government owned or controlled.,ALBWBA,http://elmoudjahid.com,PBEPESP,EPE-SPA El Moudjahid,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20201020
NAINEW,English,article,Nairobi News,Nairobi News,Nairobi News,Active,,Full Text,Full Coverage,20191213,20191212,"Nairobi News is a website that provides news and events related to Kenya. Covers articles related to general news, entertainment, sports, showbiz and celebrity stories. Country of origin: Kenya","Nairobi News is a website that provides news and events related to Kenya. Covers articles related to general news, entertainment, sports, showbiz and celebrity stories. Country of origin: Kenya","Daily source, irregular weekend edition",Same day as publication date,As available,| Edition not available from 21 Aug - 4 Sept 2020 |,ASINET2,https://nairobinews.nation.co.ke/,PBNAIN,Nairobi News,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
NAMBCO,English,article,Namibia Economist,Namibia Economist,Namibia Economist,Active,,Full Text,Full Coverage,20150411,20150410,"Weekly newspaper covering economic news including the stock market, market and investment analysis, syndicated columns, and editorial commentary. Country of origin: Namibia","Weekly newspaper covering economic news including the stock market, market and investment analysis, syndicated columns, and editorial commentary. Country of origin: Namibia",Daily,As available,As available,,ALBWBA,http://www.economist.com.na,PBNAME,Namibia Economist,7000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Namibia (NAMIB); Southern Africa (SOUAFR),20210122
NAMBPA,English,article,The Namibia Press Agency (NAMPA),The Namibia Press Agency (NAMPA),The Namibia Press Agency (NAMPA),Active,,Full Text,Full Coverage,20141008,20140913,"The Namibia Press Agency (NAMPA) was established in 1991 as a national news agency responsible for the distribution of local, regional, and international news as well as picture services to the local and international media organizations, institutions and individuals. The services include news, sports events, business and economic news, feature articles. Country of origin: Namibia","The Namibia Press Agency (NAMPA) was established in 1991 as a national news agency responsible for the distribution of local, regional, and international news as well as picture services to the local and international media organizations, institutions and individuals. The services include news, sports events, business and economic news, feature articles. Country of origin: Namibia",Daily,1 day after publication date,Monday-Saturday,Source is government owned or controlled.,ASINET2,http://www.nampa.org,NAMPRE,The Namibia Press Agency,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Namibia (NAMIB); Southern Africa (SOUAFR),20210121
NAMBSUN,English,article,Namibian Sun,Namibian Sun,Namibian Sun,Active,,Full Text,Full Coverage,20150408,20150408,"Daily English language newspaper covering local, African and international news. Country of origin: Namibia","Daily English language newspaper covering local, African and international news. Country of origin: Namibia",Daily,Same day as publication date,10 p.m. (GMT),,ALBWBA,http://namibiansun.com,PBNAMIB,Namibia Media Holdings,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Namibia (NAMIB); Southern Africa (SOUAFR),20210122
MEWNAB,English,article,The Namibian,The Namibian,The Namibian,Active,,Full Text,Full Coverage,20161019,20161018,"National daily newspaper covering regional and national news, business, economics, politics, culture and sport. Country of origin: Namibia","National daily newspaper covering regional and national news, business, economics, politics, culture and sport. Country of origin: Namibia",Daily,As available,As available,,ALBWBA,http://namibian.com.na,PBNABI,THe Namibian,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Namibia (NAMIB); Southern Africa (SOUAFR),20210122
LNATIO,French,article,La Nation,La Nation,"La Nation (Benin, French Language)",Active,,Full Text,Full Coverage,20161018,20161018,"National daily newspaper covering national and international news, culture and society, politics, the economy, sports,  health and education. Country of origin: Benin","Quotidien national portant sur l'actualité nationale et internationale, les affaires, la politique, la société, l'économie, le sport, la culture, la santé et l'éducation. Pays d'origine: Bénin",Daily,As available,As available,,ALBWBA,http://lanationbenin.info,PBMADAE,"Al Mada Est. For Mass Media, Culture and Arts",,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Benin (BENIN); West Africa (WAFR),20210122
NATDJ,French,article,La Nation,La Nation,"La Nation (Djibouti, French Language)",Active,,Full Text,Full Coverage,20190420,20190311,"National daily newspaper covering regional, national and international news and current affairs including politics, economy, society, health, culture and sports. Country of origin: Djibouti","Quotidien national couvrant l'actualité et l'actualité régionales, nationales et internationales, y compris la politique, l'économie, la société, la santé, la culture et les sports. Pays d'origine: Djibouti",Daily,Same day as publication date,As available,,ALBWBA,http://www.lanationdj.com,PBLANAT,La Nation,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); East Africa (EAFR); Djibouti (TAI),20210121
NATNIG,English,article,The Nation,The Nation,The Nation (Nigeria),Active,,Full Text,Full Coverage,20140506,20131030,Daily online newspaper with presence in geo-political zones. Country of origin: Nigeria,Daily online newspaper with presence in geo-political zones. Country of origin: Nigeria,Daily,Continuously updated,Throughout the day,Does not include tables.,VINPRS,http://www.thenationonlineng.net,VINPRS,Vintage Press Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
NATMIR,English,article,National Mirror,National Mirror,National Mirror (Nigeria),Discontinued,20170921.0,Full Text,Full Coverage,20160113,20151210,Online edition of National Mirror providing national news. Country of origin: Nigeria,Online edition of National Mirror providing national news. Country of origin: Nigeria,Irregular,Discontinued,Not available,This source has stopped updating.,HINDU1,http://nationalmirroronline.net,PBGMML,Global Media Mirror Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20170330
NBUSET,English,article,New Business Ethiopia,New Business Ethiopia,New Business Ethiopia,Active,,Full Text,Full Coverage,20150415,20090731,"Publication covering news about trade, manufacturing, agriculture, technology, construction, travel, social responsibility and the economy. Country of origin: Ethiopia","Publication covering news about trade, manufacturing, agriculture, technology, construction, travel, social responsibility and the economy. Country of origin: Ethiopia",Monthly,As available,As available,Published on the last day of each month.,ASINET2,http://www.newbusinessethiopia.com,NEBUSETH,New Business Ethiopia,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Ethiopia (ETHPA),20210122
NEWDEN,English,article,The New Dawn,The New Dawn,The New Dawn (Liberia),Active,,Full Text,Full Coverage,20131031,20131031,"Daily newspaper published in Liberia reporting social, governmental and economic news. Country of origin: Liberia","Daily newspaper published in Liberia reporting social, governmental and economic news. Country of origin: Liberia",Monday-Saturday,Same day as publication date,As available,,ALBWBA,http://www.thenewdawnliberia.com,SRLCOM,Searchlight Communications Incorporated,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Liberia (LIBER); West Africa (WAFR),20210122
NERNMB,English,article,New Era (Namibia),New Era (Namibia),New Era (Namibia),Active,,Full Text,Full Coverage,20141203,20141103,A national newspaper from Republic of Namibia. Country of origin: Namibia,A national newspaper from Republic of Namibia. Country of origin: Namibia,Monday-Friday,Same day as publication date,Monday-Friday,Stops updating around mid-December. Resumes update in January,ASINET2,https://neweralive.na/,NEWERA,New Era Publication Corporation,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Namibia (NAMIB); Southern Africa (SOUAFR),20210121
IRINASE,English,article,The New Humanitarian,The New Humanitarian,The New Humanitarian,Active,,Full Text,Full Coverage,20120621,20120621,Independent non-profit media organization covering news and reports about humanitarian crises and the humanitarian aid industry in general across Africa. Formerly known as IRIN Africa Service and IRIN (Africa). Country of origin: Kenya,Independent non-profit media organization covering news and reports about humanitarian crises and the humanitarian aid industry in general across Africa. Formerly known as IRIN Africa Service and IRIN (Africa). Country of origin: Kenya,Monday-Saturday,1 day after publication date,"Daily, as available",,ALBWBA,http://www.thenewhumanitarian.org,PBTNHU,The New Humanitarian,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20200912
NELIBAR,Arabic,article,New Libya News,New Libya News,New Libya News (Arabic Language),Discontinued,20131105.0,Full Text,Full Coverage,20130323,20130323,New Libya News is an Arabic language daily political online news source from and about Libya. Country of origin: Libya,New Libya News is an Arabic language daily political online news source from and about Libya. Country of origin: Libya,Daily,Discontinued,Not available,This source ceased publication.,ALBWBA,http://www.newlibyanews.com,PBCABC,ABC Media & Marketing,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Libya (LIBYA); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20130327
NWSTIM,English,article,The New Times,The New Times,The New Times (Rwanda),Active,,Full Text,Full Coverage,20150408,20150408,"The New Times is a daily newspaper with an extensive online presence and print editions, published in Rwanda, national coverage as well as the broader East African Region. The focus is on business, investment, current affairs, general news, environment, health and more. Country of origin: Rwanda","The New Times is a daily newspaper with an extensive online presence and print editions, published in Rwanda, national coverage as well as the broader East African Region. The focus is on business, investment, current affairs, general news, environment, health and more. Country of origin: Rwanda",Daily,As available,As available,,ALBWBA,http://newtimes.co.rw,PBNEWT,The New Times Publications,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Rwanda (RWANDA),20210122
NEWVEN,English,article,New Vision,New Vision,New Vision (Uganda),Active,,Full Text,Full Coverage,20131009,20130514,"New Vision is an English language daily newspaper in Uganda. Regular sections include business, education, jobs, tenders, health, farming and entertainment. Also includes content from Saturday Vision and Sunday Vision. Country of origin: Uganda","New Vision is an English language daily newspaper in Uganda. Regular sections include business, education, jobs, tenders, health, farming and entertainment. Also includes content from Saturday Vision and Sunday Vision. Country of origin: Uganda",Daily,As available,As available,Source is government owned or controlled.,ALBWBA,http://www.newvision.co.ug,PBDCL,New Vision Printing & Publishing Company Limited,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Uganda (UGANDA),20210122
NANIG,English,article,News Agency of Nigeria (NAN),News Agency of Nigeria (NAN),News Agency of Nigeria (NAN),Active,,Full Text,Full Coverage,20190428,20190428,"News Agency of Nigeria (NAN) is the primary news content provider for Nigeria’s newspapers, electronic media and bloggers. It covers general news and current affairs including politics, lifestyle, entertainment and sports. Country of origin: Nigeria","News Agency of Nigeria (NAN) is the primary news content provider for Nigeria’s newspapers, electronic media and bloggers. It covers general news and current affairs including politics, lifestyle, entertainment and sports. Country of origin: Nigeria",Daily,Same day as publication date,As available,Source is government owned or controlled.,ALBWBA,https://www.nan.ng,PBNANI,News Agency of Nigeria,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20201016
